I SGx1 SGy1 SGx2 SGy2 EB1 CHROM_X CHROM_Y ALPHA0 ALPHA1
 11.00000000000000 0.1000000000000000E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -9.267142683286883 -19.83909342257539 0.6628311257148501E-002 0.7001168268692826E-001
 12.00000000000000 0.1100000000000000E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -8.657396467137481 -19.90318859554497 0.6628311257148501E-002 0.6104882698985514E-001
 13.00000000000000 0.1200000000000000E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -8.047650239386236 -19.96728376973665 0.6628311257148501E-002 0.5208597112224486E-001
 14.00000000000000 0.1300000000000000E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -7.437904031718681 -20.03137894181606 0.6628311257148501E-002 0.4312311554985096E-001
 15.00000000000000 0.1400000000000001E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -6.828157822821392 -20.09547411402467 0.6628311257148501E-002 0.3416025995938030E-001
 16.00000000000000 0.1500000000000001E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -6.218411614124816 -20.15956928621241 0.6628311257148501E-002 0.2519740437185818E-001
 17.00000000000000 0.1600000000000001E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -5.608665404729945 -20.22366445847359 0.6628311257148501E-002 0.1623454877407427E-001
 18.00000000000000 0.1700000000000001E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -4.998919195157266 -20.28775963075294 0.6628311257148501E-002 0.7271693173676231E-002
 19.00000000000000 0.1800000000000001E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -4.389172985857432 -20.35185480300392 0.6628311257148501E-002 -.1691162422710346E-002
 20.00000000000000 0.1900000000000001E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -3.779426776345619 -20.41594997527784 0.6628311257148501E-002 -.1065401802221421E-001
 21.00000000000000 0.2000000000000001E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -3.169680598732540 -20.48004514419759 0.6628311257148501E-002 -.1961687315283091E-001
 22.00000000000000 0.2100000000000001E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -2.559934311833422 -20.54414032461360 0.6628311257148501E-002 -.2857972988986205E-001
 23.00000000000000 0.2200000000000001E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -1.950188106469518 -20.60823549645102 0.6628311257148501E-002 -.3754258542839376E-001
 24.00000000000000 0.2300000000000001E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -1.340441900656745 -20.67233066833558 0.6628311257148501E-002 -.4650544097352476E-001
 25.00000000000000 0.2400000000000001E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -.7306956944511309 -20.73642584026150 0.6628311257148501E-002 -.5546829652443072E-001
 26.00000000000000 0.2500000000000002E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -.1209494879147810 -20.80052101222215 0.6628311257148501E-002 -.6443115208019537E-001
 27.00000000000000 0.2600000000000002E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 0.4887967141848060 -20.86461618371524 0.6628311257148501E-002 -.7339400757074696E-001
 28.00000000000000 0.2700000000000002E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000  1.098542921361064 -20.92871135574294 0.6628311257148501E-002 -.8235686313591975E-001
 29.00000000000000 0.2800000000000002E-001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000  1.708289128990005 -20.99280652781845 0.6628311257148501E-002 -.9131971870774638E-001
